recipe_id,result_item,result_count,recipe_type,ingredients,num_distinct_ingredients
97,blast_furnace,1,shaped,smooth_stone; furnace; iron_ingot,3
98,blue_banner,1,shaped,blue_wool; stick,2
99,blue_bed,1,shaped,cherry_planks; blue_wool,2
100,blue_bed,1,shaped,bamboo_planks; blue_wool,2
101,blue_bed,1,shaped,mangrove_planks; blue_wool,2
102,blue_bed,1,shaped,warped_planks; blue_wool,2
103,blue_bed,1,shaped,crimson_planks; blue_wool,2
104,blue_bed,1,shaped,pale_oak_planks; blue_wool,2
105,blue_bed,1,shaped,dark_oak_planks; blue_wool,2
106,blue_bed,1,shaped,acacia_planks; blue_wool,2
107,blue_bed,1,shaped,jungle_planks; blue_wool,2
108,blue_bed,1,shaped,birch_planks; blue_wool,2
109,blue_bed,1,shaped,spruce_planks; blue_wool,2
110,blue_bed,1,shaped,oak_planks; blue_wool,2
111,blue_bed,1,shapeless,blue_dye; black_bed,2
112,blue_carpet,3,shaped,blue_wool,1
113,blue_carpet,1,shapeless,black_carpet; blue_dye,2
114,blue_harness,1,shaped,glass; blue_wool; leather,3
115,blue_harness,1,shapeless,black_harness; blue_dye,2
116,blue_stained_glass,8,shaped,glass; blue_dye,2
117,blue_stained_glass_pane,16,shaped,blue_stained_glass,1
118,blue_stained_glass_pane,8,shaped,glass_pane; blue_dye,2
119,blue_terracotta,8,shaped,terracotta; blue_dye,2
120,bolt_armor_trim_smithing_template,2,shaped,waxed_copper_block; diamond; bolt_armor_trim_smithing_template,3
121,bolt_armor_trim_smithing_template,2,shaped,copper_block; diamond; bolt_armor_trim_smithing_template,3
122,bone_block,1,shaped,bone_meal,1
123,bookshelf,1,shaped,cherry_planks; book,2
124,bookshelf,1,shaped,bamboo_planks; book,2
125,bookshelf,1,shaped,mangrove_planks; book,2
126,bookshelf,1,shaped,warped_planks; book,2
127,bookshelf,1,shaped,crimson_planks; book,2
128,bookshelf,1,shaped,pale_oak_planks; book,2
129,bookshelf,1,shaped,dark_oak_planks; book,2
130,bookshelf,1,shaped,acacia_planks; book,2
131,bookshelf,1,shaped,jungle_planks; book,2
132,bookshelf,1,shaped,birch_planks; book,2
133,bookshelf,1,shaped,spruce_planks; book,2
134,bookshelf,1,shaped,oak_planks; book,2
135,bow,1,shaped,stick; string,2
136,bowl,4,shaped,cherry_planks,1
137,bowl,4,shaped,bamboo_planks,1
138,bowl,4,shaped,mangrove_planks,1
139,bowl,4,shaped,warped_planks,1
140,bowl,4,shaped,crimson_planks,1
141,bowl,4,shaped,pale_oak_planks,1
142,bowl,4,shaped,dark_oak_planks,1
143,bowl,4,shaped,acacia_planks,1
144,bowl,4,shaped,jungle_planks,1
145,bowl,4,shaped,birch_planks,1
146,bowl,4,shaped,spruce_planks,1
147,bowl,4,shaped,oak_planks,1
148,bread,1,shaped,wheat,1
149,brewing_stand,1,shaped,cobbled_deepslate; blaze_rod,2
150,brewing_stand,1,shaped,blaze_rod; blackstone,2
151,brewing_stand,1,shaped,cobblestone; blaze_rod,2
152,brick_slab,6,shaped,bricks,1
153,brick_stairs,4,shaped,bricks,1
154,brick_wall,6,shaped,bricks,1
155,bricks,1,shaped,brick,1
156,brown_banner,1,shaped,brown_wool; stick,2
157,brown_bed,1,shaped,cherry_planks; brown_wool,2
158,brown_bed,1,shaped,bamboo_planks; brown_wool,2
159,brown_bed,1,shaped,mangrove_planks; brown_wool,2
160,brown_bed,1,shaped,warped_planks; brown_wool,2
161,brown_bed,1,shaped,crimson_planks; brown_wool,2
162,brown_bed,1,shaped,pale_oak_planks; brown_wool,2
163,brown_bed,1,shaped,dark_oak_planks; brown_wool,2
164,brown_bed,1,shaped,acacia_planks; brown_wool,2
165,brown_bed,1,shaped,jungle_planks; brown_wool,2
166,brown_bed,1,shaped,birch_planks; brown_wool,2
167,brown_bed,1,shaped,spruce_planks; brown_wool,2
168,brown_bed,1,shaped,oak_planks; brown_wool,2
169,brown_bed,1,shapeless,brown_dye; black_bed,2
170,brown_carpet,3,shaped,brown_wool,1
171,brown_carpet,1,shapeless,black_carpet; brown_dye,2
172,brown_harness,1,shaped,glass; brown_wool; leather,3
173,brown_harness,1,shapeless,black_harness; brown_dye,2
174,brown_stained_glass,8,shaped,glass; brown_dye,2
175,brown_stained_glass_pane,16,shaped,brown_stained_glass,1
176,brown_stained_glass_pane,8,shaped,glass_pane; brown_dye,2
177,brown_terracotta,8,shaped,terracotta; brown_dye,2
178,brush,1,shaped,copper_ingot; stick; feather,3
179,bucket,1,shaped,iron_ingot,1
180,bundle,1,shaped,string; leather,2
181,cake,1,shaped,wheat; milk_bucket; brown_egg; sugar,4
182,cake,1,shaped,wheat; milk_bucket; blue_egg; sugar,4
183,cake,1,shaped,wheat; milk_bucket; egg; sugar,4
184,calibrated_sculk_sensor,1,shaped,sculk_sensor; amethyst_shard,2
185,campfire,1,shaped,stripped_warped_hyphae; coal; stick,3
186,campfire,1,shaped,warped_hyphae; coal; stick,3
187,campfire,1,shaped,stripped_warped_stem; coal; stick,3
188,campfire,1,shaped,warped_stem; coal; stick,3
189,campfire,1,shaped,stripped_crimson_hyphae; coal; stick,3
190,campfire,1,shaped,crimson_hyphae; coal; stick,3
191,campfire,1,shaped,stripped_crimson_stem; coal; stick,3
192,campfire,1,shaped,crimson_stem; coal; stick,3
193,campfire,1,shaped,stripped_cherry_wood; coal; stick,3
194,campfire,1,shaped,stripped_cherry_log; coal; stick,3
195,campfire,1,shaped,cherry_wood; coal; stick,3
196,campfire,1,shaped,cherry_log; coal; stick,3
197,campfire,1,shaped,stripped_mangrove_wood; coal; stick,3
198,campfire,1,shaped,stripped_mangrove_log; coal; stick,3
199,campfire,1,shaped,mangrove_wood; coal; stick,3
200,campfire,1,shaped,mangrove_log; coal; stick,3
201,campfire,1,shaped,stripped_spruce_wood; coal; stick,3
202,campfire,1,shaped,stripped_spruce_log; coal; stick,3
203,campfire,1,shaped,spruce_wood; coal; stick,3
204,campfire,1,shaped,spruce_log; coal; stick,3
205,campfire,1,shaped,stripped_jungle_wood; coal; stick,3
206,campfire,1,shaped,stripped_jungle_log; coal; stick,3
207,campfire,1,shaped,jungle_wood; coal; stick,3
208,campfire,1,shaped,jungle_log; coal; stick,3
209,campfire,1,shaped,stripped_birch_wood; coal; stick,3
210,campfire,1,shaped,stripped_birch_log; coal; stick,3
211,campfire,1,shaped,birch_wood; coal; stick,3
212,campfire,1,shaped,birch_log; coal; stick,3
213,campfire,1,shaped,stripped_acacia_wood; coal; stick,3
214,campfire,1,shaped,stripped_acacia_log; coal; stick,3
215,campfire,1,shaped,acacia_wood; coal; stick,3
216,campfire,1,shaped,acacia_log; coal; stick,3
217,campfire,1,shaped,stripped_oak_wood; coal; stick,3
218,campfire,1,shaped,stripped_oak_log; coal; stick,3
219,campfire,1,shaped,oak_wood; coal; stick,3
220,campfire,1,shaped,oak_log; coal; stick,3
221,campfire,1,shaped,stripped_pale_oak_wood; coal; stick,3
222,campfire,1,shaped,stripped_pale_oak_log; coal; stick,3
223,campfire,1,shaped,pale_oak_wood; coal; stick,3
224,campfire,1,shaped,pale_oak_log; coal; stick,3
225,campfire,1,shaped,stripped_dark_oak_wood; coal; stick,3
226,campfire,1,shaped,stripped_dark_oak_log; coal; stick,3
227,campfire,1,shaped,dark_oak_wood; charcoal; stick,3
228,campfire,1,shaped,dark_oak_log; coal; stick,3
229,candle,1,shaped,string; honeycomb,2
230,carrot_on_a_stick,1,shaped,fishing_rod; carrot,2
231,cartography_table,1,shaped,cherry_planks; paper,2
232,cartography_table,1,shaped,bamboo_planks; paper,2
233,cartography_table,1,shaped,mangrove_planks; paper,2
234,cartography_table,1,shaped,warped_planks; paper,2
235,cartography_table,1,shaped,crimson_planks; paper,2
236,cartography_table,1,shaped,pale_oak_planks; paper,2
237,cartography_table,1,shaped,dark_oak_planks; paper,2
238,cartography_table,1,shaped,acacia_planks; paper,2
239,cartography_table,1,shaped,jungle_planks; paper,2
240,cartography_table,1,shaped,birch_planks; paper,2
241,cartography_table,1,shaped,spruce_planks; paper,2
242,cartography_table,1,shaped,oak_planks; paper,2
243,cauldron,1,shaped,iron_ingot,1
244,cherry_boat,1,shaped,cherry_planks,1
245,cherry_door,3,shaped,cherry_planks,1
246,cherry_fence,3,shaped,cherry_planks; stick,2
247,cherry_fence_gate,1,shaped,cherry_planks; stick,2
248,cherry_hanging_sign,6,shaped,stripped_cherry_log; iron_chain,2
249,cherry_pressure_plate,1,shaped,cherry_planks,1
250,cherry_shelf,6,shaped,stripped_cherry_log,1
251,cherry_sign,3,shaped,cherry_planks; stick,2
252,cherry_slab,6,shaped,cherry_planks,1
253,cherry_stairs,4,shaped,cherry_planks,1
254,cherry_trapdoor,2,shaped,cherry_planks,1
255,cherry_wood,3,shaped,cherry_log,1
256,chest,1,shaped,cherry_planks,1
257,chest,1,shaped,bamboo_planks,1
258,chest,1,shaped,mangrove_planks,1
259,chest,1,shaped,warped_planks,1
260,chest,1,shaped,crimson_planks,1
261,chest,1,shaped,pale_oak_planks,1
262,chest,1,shaped,dark_oak_planks,1
263,chest,1,shaped,acacia_planks,1
264,chest,1,shaped,jungle_planks,1
265,chest,1,shaped,birch_planks,1
266,chest,1,shaped,spruce_planks,1
267,chest,1,shaped,oak_planks,1
268,chiseled_bookshelf,1,shaped,cherry_planks; cherry_slab,2
269,chiseled_bookshelf,1,shaped,bamboo_planks; bamboo_slab,2
270,chiseled_bookshelf,1,shaped,mangrove_planks; mangrove_slab,2
271,chiseled_bookshelf,1,shaped,warped_planks; warped_slab,2
272,chiseled_bookshelf,1,shaped,crimson_planks; crimson_slab,2
273,chiseled_bookshelf,1,shaped,pale_oak_planks; pale_oak_slab,2
274,chiseled_bookshelf,1,shaped,dark_oak_planks; dark_oak_slab,2
275,chiseled_bookshelf,1,shaped,acacia_planks; acacia_slab,2
276,chiseled_bookshelf,1,shaped,jungle_planks; jungle_slab,2
277,chiseled_bookshelf,1,shaped,birch_planks; birch_slab,2
278,chiseled_bookshelf,1,shaped,spruce_planks; spruce_slab,2
279,chiseled_bookshelf,1,shaped,oak_planks; oak_slab,2
280,chiseled_copper,1,shaped,cut_copper_slab,1
281,chiseled_deepslate,1,shaped,cobbled_deepslate_slab,1
282,chiseled_nether_bricks,1,shaped,nether_brick_slab,1
283,chiseled_polished_blackstone,1,shaped,polished_blackstone_slab,1
284,chiseled_quartz_block,1,shaped,quartz_slab,1
285,chiseled_red_sandstone,1,shaped,red_sandstone_slab,1
286,chiseled_resin_bricks,1,shaped,resin_brick_slab,1
287,chiseled_sandstone,1,shaped,sandstone_slab,1
288,chiseled_stone_bricks,1,shaped,stone_brick_slab,1
289,chiseled_tuff,1,shaped,tuff_slab,1
290,chiseled_tuff_bricks,1,shaped,tuff_brick_slab,1
291,clay,1,shaped,clay_ball,1
292,clock,1,shaped,redstone; gold_ingot,2
293,coal_block,1,shaped,coal,1
294,coarse_dirt,4,shaped,dirt; gravel,2
295,coast_armor_trim_smithing_template,2,shaped,cobblestone; diamond; coast_armor_trim_smithing_template,3
296,cobbled_deepslate_slab,6,shaped,cobbled_deepslate,1
297,cobbled_deepslate_stairs,4,shaped,cobbled_deepslate,1
298,cobbled_deepslate_wall,6,shaped,cobbled_deepslate,1
299,cobblestone_slab,6,shaped,cobblestone,1
300,cobblestone_stairs,4,shaped,cobblestone,1
301,cobblestone_wall,6,shaped,cobblestone,1
302,comparator,1,shaped,stone; redstone_torch; quartz,3
303,compass,1,shaped,redstone; iron_ingot,2
304,composter,1,shaped,cherry_slab,1
305,composter,1,shaped,bamboo_slab,1
306,composter,1,shaped,mangrove_slab,1
307,composter,1,shaped,warped_slab,1
308,composter,1,shaped,crimson_slab,1
309,composter,1,shaped,pale_oak_slab,1
310,composter,1,shaped,dark_oak_slab,1
311,composter,1,shaped,acacia_slab,1
312,composter,1,shaped,jungle_slab,1
313,composter,1,shaped,birch_slab,1
314,composter,1,shaped,spruce_slab,1
315,composter,1,shaped,oak_slab,1
316,conduit,1,shaped,nautilus_shell; heart_of_the_sea,2
317,cookie,8,shaped,wheat; cocoa_beans,2
318,copper_axe,1,shaped,copper_ingot; stick,2
319,copper_bars,16,shaped,copper_ingot,1
320,copper_block,1,shaped,copper_ingot,1
321,copper_boots,1,shaped,copper_ingot,1
322,copper_bulb,4,shaped,copper_block; redstone; blaze_rod,3
323,copper_chain,1,shaped,copper_ingot; copper_nugget,2
324,copper_chest,1,shaped,chest; copper_ingot,2
325,copper_chestplate,1,shaped,copper_ingot,1
326,copper_door,3,shaped,copper_ingot,1
327,copper_grate,4,shaped,copper_block,1
328,copper_helmet,1,shaped,copper_ingot,1
329,copper_hoe,1,shaped,copper_ingot; stick,2
330,copper_ingot,1,shaped,copper_nugget,1
331,copper_ingot,9,shapeless,copper_block,1
332,copper_ingot,9,shapeless,waxed_copper_block,1
333,copper_lantern,1,shaped,copper_torch; copper_nugget,2
334,copper_leggings,1,shaped,copper_ingot,1
335,copper_pickaxe,1,shaped,copper_ingot; stick,2
336,copper_shovel,1,shaped,copper_ingot; stick,2
337,copper_spear,1,shaped,copper_ingot; stick,2
338,copper_sword,1,shaped,copper_ingot; stick,2
339,copper_torch,4,shaped,charcoal; stick; copper_nugget,3
340,copper_torch,4,shaped,coal; stick; copper_nugget,3
341,copper_trapdoor,1,shaped,copper_ingot,1
342,crafter,1,shaped,crafting_table; redstone; dropper; iron_ingot,4
343,crafting_table,1,shaped,cherry_planks,1
344,crafting_table,1,shaped,bamboo_planks,1
345,crafting_table,1,shaped,mangrove_planks,1
346,crafting_table,1,shaped,warped_planks,1
347,crafting_table,1,shaped,crimson_planks,1
348,crafting_table,1,shaped,pale_oak_planks,1
349,crafting_table,1,shaped,dark_oak_planks,1
350,crafting_table,1,shaped,acacia_planks,1
351,crafting_table,1,shaped,jungle_planks,1
352,crafting_table,1,shaped,birch_planks,1
353,crafting_table,1,shaped,spruce_planks,1
354,crafting_table,1,shaped,oak_planks,1
355,creaking_heart,1,shaped,pale_oak_log; resin_block,2
356,crimson_door,3,shaped,crimson_planks,1
357,crimson_fence,3,shaped,crimson_planks; stick,2
358,crimson_fence_gate,1,shaped,crimson_planks; stick,2
359,crimson_hanging_sign,6,shaped,stripped_crimson_stem; iron_chain,2
360,crimson_hyphae,3,shaped,crimson_stem,1
361,crimson_pressure_plate,1,shaped,crimson_planks,1
362,crimson_shelf,6,shaped,stripped_crimson_stem,1
363,crimson_sign,3,shaped,crimson_planks; stick,2
364,crimson_slab,6,shaped,crimson_planks,1
365,crimson_stairs,4,shaped,crimson_planks,1
366,crimson_trapdoor,2,shaped,crimson_planks,1
367,crossbow,1,shaped,tripwire_hook; iron_ingot; stick; string,4
368,cut_copper,4,shaped,copper_block,1
369,cut_copper_slab,6,shaped,cut_copper,1
370,cut_copper_stairs,4,shaped,cut_copper,1
371,cut_red_sandstone,4,shaped,red_sandstone,1
372,cut_red_sandstone_slab,6,shaped,cut_red_sandstone,1
373,cut_sandstone,4,shaped,sandstone,1
374,cut_sandstone_slab,6,shaped,cut_sandstone,1
375,cyan_banner,1,shaped,cyan_wool; stick,2
376,cyan_bed,1,shaped,cherry_planks; cyan_wool,2
377,cyan_bed,1,shaped,bamboo_planks; cyan_wool,2
378,cyan_bed,1,shaped,mangrove_planks; cyan_wool,2
379,cyan_bed,1,shaped,warped_planks; cyan_wool,2
380,cyan_bed,1,shaped,crimson_planks; cyan_wool,2
381,cyan_bed,1,shaped,pale_oak_planks; cyan_wool,2
382,cyan_bed,1,shaped,dark_oak_planks; cyan_wool,2
383,cyan_bed,1,shaped,acacia_planks; cyan_wool,2
384,cyan_bed,1,shaped,jungle_planks; cyan_wool,2
385,cyan_bed,1,shaped,birch_planks; cyan_wool,2
386,cyan_bed,1,shaped,spruce_planks; cyan_wool,2
387,cyan_bed,1,shaped,oak_planks; cyan_wool,2
388,cyan_bed,1,shapeless,cyan_dye; black_bed,2
389,cyan_carpet,3,shaped,cyan_wool,1
390,cyan_carpet,1,shapeless,black_carpet; cyan_dye,2
391,cyan_harness,1,shaped,glass; cyan_wool; leather,3
392,cyan_harness,1,shapeless,black_harness; cyan_dye,2
393,cyan_stained_glass,8,shaped,glass; cyan_dye,2
394,cyan_stained_glass_pane,16,shaped,cyan_stained_glass,1
395,cyan_stained_glass_pane,8,shaped,glass_pane; cyan_dye,2
396,cyan_terracotta,8,shaped,terracotta; cyan_dye,2
397,dark_oak_boat,1,shaped,dark_oak_planks,1
398,dark_oak_door,3,shaped,dark_oak_planks,1
399,dark_oak_fence,3,shaped,dark_oak_planks; stick,2
400,dark_oak_fence_gate,1,shaped,dark_oak_planks; stick,2
401,dark_oak_hanging_sign,6,shaped,stripped_dark_oak_log; iron_chain,2
402,dark_oak_pressure_plate,1,shaped,dark_oak_planks,1
403,dark_oak_shelf,6,shaped,stripped_dark_oak_log,1
404,dark_oak_sign,3,shaped,dark_oak_planks; stick,2
405,dark_oak_slab,6,shaped,dark_oak_planks,1
406,dark_oak_stairs,4,shaped,dark_oak_planks,1
407,dark_oak_trapdoor,2,shaped,dark_oak_planks,1
408,dark_oak_wood,3,shaped,dark_oak_log,1
409,dark_prismarine,1,shaped,black_dye; prismarine_shard,2
410,dark_prismarine_slab,6,shaped,dark_prismarine,1
411,dark_prismarine_stairs,4,shaped,dark_prismarine,1
412,daylight_detector,1,shaped,glass; cherry_slab; quartz,3
413,daylight_detector,1,shaped,glass; bamboo_slab; quartz,3
414,daylight_detector,1,shaped,glass; mangrove_slab; quartz,3
415,daylight_detector,1,shaped,glass; warped_slab; quartz,3
416,daylight_detector,1,shaped,glass; crimson_slab; quartz,3
417,daylight_detector,1,shaped,glass; pale_oak_slab; quartz,3
418,daylight_detector,1,shaped,glass; dark_oak_slab; quartz,3
419,daylight_detector,1,shaped,glass; acacia_slab; quartz,3
420,daylight_detector,1,shaped,glass; jungle_slab; quartz,3
421,daylight_detector,1,shaped,glass; birch_slab; quartz,3
422,daylight_detector,1,shaped,glass; spruce_slab; quartz,3
423,daylight_detector,1,shaped,glass; oak_slab; quartz,3
424,decorated_pot,1,shaped,brick,1
425,deepslate_brick_slab,6,shaped,deepslate_bricks,1
426,deepslate_brick_stairs,4,shaped,deepslate_bricks,1
427,deepslate_brick_wall,6,shaped,deepslate_bricks,1
428,deepslate_bricks,4,shaped,polished_deepslate,1
429,deepslate_tile_slab,6,shaped,deepslate_tiles,1
430,deepslate_tile_stairs,4,shaped,deepslate_tiles,1
431,deepslate_tile_wall,6,shaped,deepslate_tiles,1
432,deepslate_tiles,4,shaped,deepslate_bricks,1
433,detector_rail,6,shaped,redstone; stone_pressure_plate; iron_ingot,3
434,diamond_axe,1,shaped,diamond; stick,2
435,diamond_block,1,shaped,diamond,1
436,diamond_boots,1,shaped,diamond,1
437,diamond_chestplate,1,shaped,diamond,1
438,diamond_helmet,1,shaped,diamond,1
439,diamond_hoe,1,shaped,diamond; stick,2
440,diamond_leggings,1,shaped,diamond,1
441,diamond_pickaxe,1,shaped,diamond; stick,2
442,diamond_shovel,1,shaped,diamond; stick,2
443,diamond_spear,1,shaped,diamond; stick,2
444,diamond_sword,1,shaped,diamond; stick,2
445,diorite,2,shaped,cobblestone; quartz,2
446,diorite_slab,6,shaped,diorite,1
447,diorite_stairs,4,shaped,diorite,1
448,diorite_wall,6,shaped,diorite,1
449,dispenser,1,shaped,cobblestone; redstone; bow,3
450,dried_ghast,1,shaped,soul_sand; ghast_tear,2
451,dried_kelp_block,1,shaped,dried_kelp,1
452,dripstone_block,1,shaped,pointed_dripstone,1
453,dropper,1,shaped,cobblestone; redstone,2
454,dune_armor_trim_smithing_template,2,shaped,sandstone; diamond; dune_armor_trim_smithing_template,3
455,emerald_block,1,shaped,emerald,1
456,enchanting_table,1,shaped,obsidian; diamond; book,3
457,end_crystal,1,shaped,glass; ghast_tear; ender_eye,3
458,end_rod,4,shaped,blaze_rod; popped_chorus_fruit,2
459,end_stone_brick_slab,6,shaped,end_stone_bricks,1
460,end_stone_brick_stairs,4,shaped,end_stone_bricks,1
461,end_stone_brick_wall,6,shaped,end_stone_bricks,1
462,end_stone_bricks,4,shaped,end_stone,1
463,ender_chest,1,shaped,obsidian; ender_eye,2
464,exposed_chiseled_copper,1,shaped,exposed_cut_copper_slab,1
465,exposed_copper_bulb,4,shaped,exposed_copper; redstone; blaze_rod,3
466,exposed_copper_grate,4,shaped,exposed_copper,1
467,exposed_cut_copper,4,shaped,exposed_copper,1
468,exposed_cut_copper_slab,6,shaped,exposed_cut_copper,1
469,exposed_cut_copper_stairs,4,shaped,exposed_cut_copper,1
470,eye_armor_trim_smithing_template,2,shaped,end_stone; diamond; eye_armor_trim_smithing_template,3
471,fishing_rod,1,shaped,stick; string,2
472,fletching_table,1,shaped,cherry_planks; flint,2
473,fletching_table,1,shaped,bamboo_planks; flint,2
474,fletching_table,1,shaped,mangrove_planks; flint,2
475,fletching_table,1,shaped,warped_planks; flint,2
476,fletching_table,1,shaped,crimson_planks; flint,2
477,fletching_table,1,shaped,pale_oak_planks; flint,2
478,fletching_table,1,shaped,dark_oak_planks; flint,2
479,fletching_table,1,shaped,acacia_planks; flint,2
480,fletching_table,1,shaped,jungle_planks; flint,2
481,fletching_table,1,shaped,birch_planks; flint,2
482,fletching_table,1,shaped,spruce_planks; flint,2
483,fletching_table,1,shaped,oak_planks; flint,2
484,flow_armor_trim_smithing_template,2,shaped,diamond; breeze_rod; flow_armor_trim_smithing_template,3
485,flower_pot,1,shaped,brick,1
486,furnace,1,shaped,cobbled_deepslate,1
487,furnace,1,shaped,blackstone,1
488,furnace,1,shaped,cobblestone,1
489,glass_bottle,3,shaped,glass,1
490,glass_pane,16,shaped,glass,1
491,glistering_melon_slice,1,shaped,melon_slice; gold_nugget,2
492,glowstone,1,shaped,glowstone_dust,1
493,gold_block,1,shaped,gold_ingot,1
494,gold_ingot,1,shaped,gold_nugget,1
495,gold_ingot,9,shapeless,gold_block,1
496,golden_apple,1,shaped,apple; gold_ingot,2
497,golden_axe,1,shaped,gold_ingot; stick,2
498,golden_boots,1,shaped,gold_ingot,1
499,golden_carrot,1,shaped,gold_nugget; carrot,2
500,golden_chestplate,1,shaped,gold_ingot,1
501,golden_helmet,1,shaped,gold_ingot,1
502,golden_hoe,1,shaped,gold_ingot; stick,2
503,golden_leggings,1,shaped,gold_ingot,1
504,golden_pickaxe,1,shaped,gold_ingot; stick,2
505,golden_shovel,1,shaped,gold_ingot; stick,2
506,golden_spear,1,shaped,gold_ingot; stick,2
